chain,layer,address,cosmos_address,denom,amount_micro,amount_phmn,tags,relation_notes,distribution_note
osmosis,current,osmo1hyjhy0tp6geral2g9vj9nyteglf8t5q4pqwre8,cosmos1hyjhy0tp6geral2g9vj9nyteglf8t5q4fman04,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,12661704217,12661.704217,core_team_liquidity_subdao_reroute,Core-team Osmosis PHMN; reroute 12661.704217 PHMN to Liquidity SubDAO in final distribution.,"core-team Osmosis balance; send this 12661.704217 PHMN to Liquidity SubDAO, not to the old Osmosis address"
osmosis,current,osmo1cxt79zavgr9qvqfx9hjsr9aqvpx7ftan0v2swg,cosmos1cxt79zavgr9qvqfx9hjsr9aqvpx7ftan8heqc6,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,4149965697,4149.965697,,,
osmosis,current,osmo14xgtkqjuesaghxzs0h7qxyeklswxlqfndwdgrz,cosmos14xgtkqjuesaghxzs0h7qxyeklswxlqfn947c4s,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,925282678,925.282678,,,
osmosis,current,osmo1akt7rxfhh9du8t2kj4mj2wvle8gkr3cx2r0vag,cosmos1akt7rxfhh9du8t2kj4mj2wvle8gkr3cxzcuut6,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,613164677,613.164677,,,
osmosis,current,osmo1g3vcmcc5yk97dlt8rt56rjvgn4trztppp2xlj0,cosmos1g3vcmcc5yk97dlt8rt56rjvgn4trztppf340ya,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,186433381,186.433381,,,
osmosis,current,osmo1tjr3f27v6lpj7jpnc82v8k44ujkmcfmmye7307,cosmos1tjr3f27v6lpj7jpnc82v8k44ujkmcfmmvzdpev,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,179092558,179.092558,,,
osmosis,current,osmo1kumn723qfn39czdhaupmn748gukhe3386yatgg,cosmos1kumn723qfn39czdhaupmn748gukhe338jlwm76,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,166124470,166.124470,,,
osmosis,current,osmo136fnpjpfsjcs2gvpsppgp3zcruuzn9kwxp7rf6,cosmos136fnpjpfsjcs2gvpsppgp3zcruuzn9kww6dnlg,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,163264526,163.264526,,,
osmosis,current,osmo1ylvzfp3gzvn57suka2a0dxtfdumntx8yh6ll66,cosmos1ylvzfp3gzvn57suka2a0dxtfdumntx8ylpv0vg,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,147280197,147.280197,,,
osmosis,current,osmo1slqv7yv45v4k3ccrvwv24u2scqn6hyrut7j5m69ygw3j66ayqnesxemawx,cosmos1slqv7yv45v4k3ccrvwv24u2scqn6hyrut7j5m69ygw3j66ayqnesnyr9eq,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,146084861,146.084861,,,
osmosis,current,osmo1ypxa63r79nl70yjfm0fl7dltq348a98724z7r4,cosmos1ypxa63r79nl70yjfm0fl7dltq348a987zw3w48,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,135815424,135.815424,,,
osmosis,current,osmo1zcr3ysxzsl8x7shqky0jxuv792dr8ld2t4dxku,cosmos1zcr3ysxzsl8x7shqky0jxuv792dr8ld2rw7kqw,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,130126771,130.126771,,,
osmosis,current,osmo12gdehwwv8eusdzwszpx2yt522cnun74ychvdpg,cosmos12gdehwwv8eusdzwszpx2yt522cnun74ysvlah6,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,123405521,123.405521,,,
osmosis,current,osmo1uvu6dw6vwqfm583zz64hqnfsjlslgejy6eyuh6,cosmos1uvu6dw6vwqfm583zz64hqnfsjlslgejyjzhvpg,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,81308451,81.308451,,,
osmosis,current,osmo1fv8af0ggq4fcr9flp0mau6350au22rj95jsxs8,cosmos1fv8af0ggq4fcr9flp0mau6350au22rj9ufrkx4,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,72672097,72.672097,,,
osmosis,current,osmo1yuv8ewefwta932auuu7xrnp7yqyjfhumkv8ht9,cosmos1yuv8ewefwta932auuu7xrnp7yqyjfhum7h58ah,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,71702482,71.702482,,,
osmosis,current,osmo1uplgauten46exm5693dflggdvvg9rpdat0u49a,cosmos1uplgauten46exm5693dflggdvvg9rpdar509n0,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,60064797,60.064797,,,
