source_addresses,recipient_address,amount_phmn,note
neutron1prefwzgnqm0yp579027gt6hl0vlh3ywqt30weknvcgev4r7v0wqqrhl7ry; osmo1hyjhy0tp6geral2g9vj9nyteglf8t5q4pqwre8; juno16rd66nkhuc2qvzarqs28z0l6gk50qy5w0jdwk2xygtkjz5kclu9qlsyxl4,cosmos1pu90e2gm2kq9lvheqzrh0tl9dw5aqg6v5gr9jug2eqdel0vzuxkqvg72nn,30371.280659,Liquidity SubDAO treasury. Old Neutron/Osmosis/Juno treasury and core-team PHMN is rerouted here; this is not an individual user allocation.
juno1pqardc39d558mr58nx5m2wgmy448pv94ehdea0; juno100umj2mnu0u6ujf37c9a3xfy9gl53hu9ekxyyw; juno1ejdt5w55ad8c3syj8mph3xhchee2jtlcfpw9sm0mq2fh80qygudsjzrwjj; juno1cgs9upt55g6ms3a9zwjn4gg2p6n339flzm7mjuuayu7m076lsuvsnf4cka; juno1uwmtcc8lxc7waqy9takvnsautlfx5qp688jykvvuk4fezd8jf6fs549ym2; juno1gsrhz6vqgjyz9ar3tr7w4hzk5n6dtwt66hjtjyn0hqycje3pzpaq73395c; juno1eltl6qu6y538vhux3mk3pjpn7redx8najm4u3e; juno1kfsf0p07a9unhnn3f0qv2vkcwyr8vuzxvjempy739e6ry5acgfeqdkfyuv; juno10cf0pmy6crjdgyd6y5svzwuf59qfu3kqva63cghp82x8ccw3ytesgtpf4m; juno1q0yn0r4q8h7d3qmtlq7mrxuyn6wc4g99p94hr4d47ftu09wtfkmqwlscpl; juno1ujl7hlglktdll3g8d3sttw83vw969ncwl3npzfaj7qplgzhhu92qdfdte4; __OSMOSIS_DENOM_OWNER_GAP__; juno1ud8avxjwk5m97s8s5pqd0qhg0lyxqxefjzupyhrqvpq2002svfpq8urfuq; juno13k62fjqupyyhlxjt7adrfenzfpu2698d8emwvgkkjlxmj506gvfsf9hfe9; juno1xt8lgs35qntfqts0r686c9t0whuw2g065er3qahzc7qq8wjnpntsq499ge; juno15tv8ufpg8t7mke4rs66cqcg0x297y55numn2x6a8kz703reldalqg9w40e; juno1vknye0x0uxd0ypmr28qreg36fvuyyyna0ve8a7lrx2lepl4ehscsapfyvf; juno13h4dye7tls2h662h4lhmyrm7dce47am8h70p3thhyxh8vr5hyljqc3a6sv; juno1gs3hkuvjaexu52u9s65e8wj5he753dl4l9yn6vew7hszvxhdg6sqanluwc,cosmos146s5j3t7gh2g37ywm47dp8avhesu2htvjjaxq7z55e7xj0rq0k8q5qnjjy,30015.775669,"Strategic SubDAO treasury. Includes incident exclusions, Olim exclusion, unresolved Osmosis accounting gap, Strategic SubDAO reroutes, and remaining capacity to the 131,072 PHMN cap; this is not an individual user allocation."
osmo1cxt79zavgr9qvqfx9hjsr9aqvpx7ftan0v2swg,cosmos1cxt79zavgr9qvqfx9hjsr9aqvpx7ftan8heqc6,4149.965697,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno1e8238v24qccht9mqc2w0r4luq462yxttdl93mj,cosmos1e8238v24qccht9mqc2w0r4luq462yxttmdx2uw,3575.987363,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno1xltl0rsmha34ah85qctj9rr5arpf0w4qy4xfs3,cosmos1xltl0rsmha34ah85qctj9rr5arpf0w4qj89jhd,3481.088215,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno18as0t5t0nav8nz47rppddfm35u4ee2ddee6qwn,cosmos18as0t5t0nav8nz47rppddfm35u4ee2dd0temf0,3324.668138,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno1fku9gl93dy3z4d2y58gza06un72ulmd8a3q8pj; neutron1fku9gl93dy3z4d2y58gza06un72ulmd80u27uf,cosmos1fku9gl93dy3z4d2y58gza06un72ulmd8trruxw,2663.036408,Multiple source addresses normalize to the same Cosmos account bytes; their balances are combined into one recipient allocation. Snapshot allocation exceeds 100 PHMN.
juno178z4shdn9akvn3djy545venkg8quqw3akg6dyl,cosmos178z4shdn9akvn3djy545venkg8quqw3aq6ekrr,2517.534322,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno1en573jr7chq9umwchv6azvq0twtzcsuuacg8ux,cosmos1en573jr7chq9umwchv6azvq0twtzcsuut2tum6,2378.219253,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno1ygsgtmn057xn7xl30hz0a3y5p7p7ltyhcpn9qw,cosmos1ygsgtmn057xn7xl30hz0a3y5p7p7ltyhwns78j,2050.657953,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno1xxk6artjctr3fgurh4p7mwgm0wyxy4ypwhfesl,cosmos1xxk6artjctr3fgurh4p7mwgm0wyxy4ypc92zhr,1772.243665,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno1rq5hr6vyexs9c3nyjdjggda7kelwg9jtkwlgfc,cosmos1rq5hr6vyexs9c3nyjdjggda7kelwg9jtquunwy,1755.455613,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno18e47wxp8eep2czf5ppscykk0g9g4se00hf3jez,cosmos18e47wxp8eep2czf5ppscykk0g9g4se00pmjf77,1312.938332,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno16f50tw3pqm39ftlseag9stfucfjpsw09grj5rq,cosmos16f50tw3pqm39ftlseag9stfucfjpsw097330yu,1160.234823,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno1vq97vj6hsrvg8569eclpnpsvs6nk7jll5rvqth,cosmos1vq97vj6hsrvg8569eclpnpsvs6nk7jllz30mvt,1060.214274,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno19qypu6hpwpyqmd24xufq8zkua3fmrhapazuky9,cosmos19qypu6hpwpyqmd24xufq8zkua3fmrhaptsldre,1019.385782,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
osmo14xgtkqjuesaghxzs0h7qxyeklswxlqfndwdgrz,cosmos14xgtkqjuesaghxzs0h7qxyeklswxlqfn947c4s,925.282678,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno16s9lqwxpx3v37pktkf0tly5gntj9fpnyx6s0pr,cosmos16s9lqwxpx3v37pktkf0tly5gntj9fpnysgn5xl,898.641204,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno1en69twaxmv7xupy8lq7y539dpecx7yz8awp0ss,cosmos1en69twaxmv7xupy8lq7y539dpecx7yz8tuz5hv,827.445465,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
osmo1akt7rxfhh9du8t2kj4mj2wvle8gkr3cx2r0vag,cosmos1akt7rxfhh9du8t2kj4mj2wvle8gkr3cxzcuut6,613.164677,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno1hm4k5y0ykmjlpm9j47uuedvrlml05mvx80jyw9; osmo1hm4k5y0ykmjlpm9j47uuedvrlml05mvxexz0lt,cosmos1hm4k5y0ykmjlpm9j47uuedvrlml05mvx3a3lfe,612.033325,Multiple source addresses normalize to the same Cosmos account bytes; their balances are combined into one recipient allocation. Snapshot allocation exceeds 100 PHMN.
juno1kacj7uutqqq6pwndf79j36krwq22rctj07eykn,cosmos1kacj7uutqqq6pwndf79j36krwq22rctjev6l30,577.684538,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno1ef97akcf2k2mjh68dwy4nmtzqge8gw5jyx6k9x,cosmos1ef97akcf2k2mjh68dwy4nmtzqge8gw5jj5edz6,552.809460,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno17w007ye3uy8x8d8ng7vguynzcxgea53d85vr0e,cosmos17w007ye3uy8x8d8ng7vguynzcxgea53d3x0cg9,510.805340,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno13jqmz5angwmwjpgz3t20cq89l07c9tgads6ss7,cosmos13jqmz5angwmwjpgz3t20cq89l07c9tgamzethz,494.999999,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno1m8yf3g2m9p7danjvt4ga6vzewy380pk5lh05ue,cosmos1m8yf3g2m9p7danjvt4ga6vzewy380pk5f9v0m9,461.949894,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno1593yhrjwvhcv3vlvars3playrhfhr69xfdy4ld,cosmos1593yhrjwvhcv3vlvars3playrhfhr69xll8wc3,461.712077,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno1t8c83d9t44t829pzjq9uxc9aq5kzf64xgfzxxz,cosmos1t8c83d9t44t829pzjq9uxc9aq5kzf64x7mpap7,425.451202,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno1fq5twlmmmqhahjpy0h7sleskv4vldmdzjeyl2x; osmo1fq5twlmmmqhahjpy0h7sleskv4vldmdzvs55mg,cosmos1fq5twlmmmqhahjpy0h7sleskv4vldmdzyt8yd6,424.706701,Multiple source addresses normalize to the same Cosmos account bytes; their balances are combined into one recipient allocation. Snapshot allocation exceeds 100 PHMN.
juno1hqvgvm764x0nlamlahpe7rju53wnnkn6jujpfu,cosmos1hqvgvm764x0nlamlahpe7rju53wnnkn6yw36wq,423.465444,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno1jug6azkcx407t50556gztxwtszxxdmzreuqqrl,cosmos1jug6azkcx407t50556gztxwtszxxdmzr0wrmyr,396.389715,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno1scpw0fn0ysfzatxadkg47pw89z62842d2g3pwy,cosmos1scpw0fn0ysfzatxadkg47pw89z62842du6j6fc,387.118623,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno1hlz876ypt8xhq7hl3qc9repjwlkr5p7ceraj2u,cosmos1hlz876ypt8xhq7hl3qc9repjwlkr5p7c037fdq,384.730670,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno15qnf6turgmunhkvxrx0skvgw3apcwdp8l9nttg,cosmos15qnf6turgmunhkvxrx0skvgw3apcwdp8fhssv5,375.650897,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno1wrm8mevp36k9cyer2qxxafjga3za0mqal6asff,cosmos1wrm8mevp36k9cyer2qxxafjga3za0mqafg7tw4,349.303926,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno1q7xq90c3uge05k3pfcplu3syc4djfzqtyg4mha,cosmos1q7xq90c3uge05k3pfcplu3syc4djfzqtj6kqsp,330.798344,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno1cm8028w796yytm2a3c7lppm3f783yqulg6mglg,cosmos1cm8028w796yytm2a3c7lppm3f783yqul7gcnc5,327.825255,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno1lyj7hy8e7j2r4an534x2w5qv3h3fur8gdhn7pn,cosmos1lyj7hy8e7j2r4an534x2w5qv3h3fur8gm9s9x0,327.518217,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
