group,primary_address,cosmos_addresses,pre_mint_amount_phmn,previous_amount_phmn,current_amount_phmn,delta_since_previous_phmn,delta_since_pre_mint_phmn,pre_mint_sources,previous_sources,current_sources,related_addresses,relation_notes
"attacker_same_key","juno1pqardc39d558mr58nx5m2wgmy448pv94ehdea0","cosmos1pqardc39d558mr58nx5m2wgmy448pv9409wz6n","0.000000","15100.000000","15100.000000","0.000000","15100.000000","","juno:juno1pqardc39d558mr58nx5m2wgmy448pv94ehdea0","juno:juno1pqardc39d558mr58nx5m2wgmy448pv94ehdea0","akash1pqardc39d558mr58nx5m2wgmy448pv94z7r9rf;atone1pqardc39d558mr58nx5m2wgmy448pv94p9j9vt;cosmos1pqardc39d558mr58nx5m2wgmy448pv9409wz6n;juno1pqardc39d558mr58nx5m2wgmy448pv94ehdea0;neutron1pqardc39d558mr58nx5m2wgmy448pv94t68qq5;noble1pqardc39d558mr58nx5m2wgmy448pv948xm2za;osmo1pqardc39d558mr58nx5m2wgmy448pv9487ajvp;osmosis1pqardc39d558mr58nx5m2wgmy448pv94u7r02w;stride1pqardc39d558mr58nx5m2wgmy448pv94vww7wl","confirmed pqard attacker same raw key; minted/sold/moved unauthorized PHMN on 2026-06-10"
"attacker_funding_hub","osmo1m8wg4vxkefhs374qxmmqpyusgz289wmulex5qdwpfx7jnrxzer5s9cv83q","cosmos1m8wg4vxkefhs374qxmmqpyusgz289wmulex5qdwpfx7jnrxzer5ss95lxx","0.000000","0.000000","0.000000","0.000000","0.000000","","","","cosmos1m8wg4vxkefhs374qxmmqpyusgz289wmulex5qdwpfx7jnrxzer5ss95lxx;juno1m8wg4vxkefhs374qxmmqpyusgz289wmulex5qdwpfx7jnrxzer5snqnv3z;neutron1m8wg4vxkefhs374qxmmqpyusgz289wmulex5qdwpfx7jnrxzer5s329mc9;osmo1m8wg4vxkefhs374qxmmqpyusgz289wmulex5qdwpfx7jnrxzer5s9cv83q;osmosis1m8wg4vxkefhs374qxmmqpyusgz289wmulex5qdwpfx7jnrxzer5sqtjla8","strong funding hub: funded pqard attacker same-key addresses and juno187; not identity proof by itself"
"compromised_minter","juno100umj2mnu0u6ujf37c9a3xfy9gl53hu9ekxyyw","cosmos100umj2mnu0u6ujf37c9a3xfy9gl53hu90y9lrj","2032.149313","2032.149313","2032.149313","0.000000","0.000000","juno:juno100umj2mnu0u6ujf37c9a3xfy9gl53hu9ekxyyw","juno:juno100umj2mnu0u6ujf37c9a3xfy9gl53hu9ekxyyw","juno:juno100umj2mnu0u6ujf37c9a3xfy9gl53hu9ekxyyw","cosmos100umj2mnu0u6ujf37c9a3xfy9gl53hu90y9lrj;juno100umj2mnu0u6ujf37c9a3xfy9gl53hu9ekxyyw;neutron100umj2mnu0u6ujf37c9a3xfy9gl53hu9tmvae4;osmosis100umj2mnu0u6ujf37c9a3xfy9gl53hu9ulgjn0","old PHMN compromised minter address involved in unauthorized 30000 PHMN mint"
"olim_same_key","juno1eltl6qu6y538vhux3mk3pjpn7redx8najm4u3e","cosmos1eltl6qu6y538vhux3mk3pjpn7redx8nayfk8k9","0.000000","0.000000","0.000000","0.000000","0.000000","","","","cosmos1eltl6qu6y538vhux3mk3pjpn7redx8nayfk8k9;juno1eltl6qu6y538vhux3mk3pjpn7redx8najm4u3e;neutron1eltl6qu6y538vhux3mk3pjpn7redx8naqkl9vz;noble1eltl6qu6y538vhux3mk3pjpn7redx8nav2r0wt;osmo1eltl6qu6y538vhux3mk3pjpn7redx8navj9hqh;osmosis1eltl6qu6y538vhux3mk3pjpn7redx8nahjm2xc;persistence1eltl6qu6y538vhux3mk3pjpn7redx8na29s5cp","Olim address cluster requested by operator; juno1eltl same raw key on Osmosis/Noble/Cosmos/Neutron/Persistence"
"olim_linked_juno187","juno187jy6cderlfwwttds33e6cdzntx0z0ghnjqv79","cosmos187jy6cderlfwwttds33e6cdzntx0z0gh9qrhee","0.000000","0.000000","0.000000","0.000000","0.000000","","","","atone187jy6cderlfwwttds33e6cdzntx0z0ghtqls0p;cosmos187jy6cderlfwwttds33e6cdzntx0z0gh9qrhee;juno187jy6cderlfwwttds33e6cdzntx0z0ghnjqv79;neutron187jy6cderlfwwttds33e6cdzntx0z0ghpl24r7;osmo187jy6cderlfwwttds33e6cdzntx0z0ghdms80t;osmosis187jy6cderlfwwttds33e6cdzntx0z0ghkmw6fy;persistence187jy6cderlfwwttds33e6cdzntx0z0ghtv9yha","juno187 cluster: direct PHMN/JUNO links with juno1eltl and same Solana route family; not proven pqard attacker"
"olim_operator_cw347_cluster","dym1cw3474xsjkxxgh54sden3uw00emgxhnfta5mdm","cosmos1cw3474xsjkxxgh54sden3uw00emgxhnfeqcag4","0.000000","0.000000","0.000000","0.000000","0.000000","","","","cosmos1cw3474xsjkxxgh54sden3uw00emgxhnfeqcag4;dym1cw3474xsjkxxgh54sden3uw00emgxhnfta5mdm;inj1cw3474xsjkxxgh54sden3uw00emgxhnfnf0e6d;juno1cw3474xsjkxxgh54sden3uw00emgxhnf0jmx0f;neutron1cw3474xsjkxxgh54sden3uw00emgxhnfal3ljj;osmosis1cw3474xsjkxxgh54sden3uw00emgxhnf2m4scg","operator-provided Olim cluster dym/inj cw347; checked by raw-key conversion against PHMN holder snapshots"
"olim_operator_f68m5_cluster","secret1f68m5x8qkyn4wrj3kh452xw2lvupcrfn555tjp","cosmos1f68m5x8qkyn4wrj3kh452xw2lvupcrfnk3qz0a","0.000000","0.000000","0.000000","0.000000","0.000000","","","","cosmos1f68m5x8qkyn4wrj3kh452xw2lvupcrfnk3qz0a;juno1f68m5x8qkyn4wrj3kh452xw2lvupcrfnqrregp;neutron1f68m5x8qkyn4wrj3kh452xw2lvupcrfnjwfq46;osmosis1f68m5x8qkyn4wrj3kh452xw2lvupcrfn92d0lq;secret1f68m5x8qkyn4wrj3kh452xw2lvupcrfn555tjp","operator-provided Olim Secret f68m5 address; checked by raw-key conversion against PHMN holder snapshots"
"olim_operator_mnfft_cluster","firma1mnfft4zlzr7ueuc5gqtk7hn5vzjhav808xg3zq","cosmos1mnfft4zlzr7ueuc5gqtk7hn5vzjhav80f4qxn6","0.000000","0.000000","0.000000","0.000000","0.000000","","","","cosmos1mnfft4zlzr7ueuc5gqtk7hn5vzjhav80f4qxn6;firma1mnfft4zlzr7ueuc5gqtk7hn5vzjhav808xg3zq;juno1mnfft4zlzr7ueuc5gqtk7hn5vzjhav80l8ra5x;neutron1mnfft4zlzr7ueuc5gqtk7hn5vzjhav80d2fyfa;osmosis1mnfft4zlzr7ueuc5gqtk7hn5vzjhav806wdtr8","operator-provided Olim Firma mnfft address; checked by raw-key conversion against PHMN holder snapshots"
"olim_operator_js02_cluster","dym1js02wq4u96wkrsqlgz8ltptf2nhyq2e0zx6u9k","cosmos1js02wq4u96wkrsqlgz8ltptf2nhyq2e0smk6qc","0.000000","0.000000","0.000000","0.000000","0.000000","","","","cosmos1js02wq4u96wkrsqlgz8ltptf2nhyq2e0smk6qc;dym1js02wq4u96wkrsqlgz8ltptf2nhyq2e0zx6u9k;inj1js02wq4u96wkrsqlgz8ltptf2nhyq2e06jp7jq;juno1js02wq4u96wkrsqlgz8ltptf2nhyq2e0xf4p8y;neutron1js02wq4u96wkrsqlgz8ltptf2nhyq2e05ylc6l;osmosis1js02wq4u96wkrsqlgz8ltptf2nhyq2e0rqmhs9","operator-provided Olim cluster dym/inj js02; checked by raw-key conversion against PHMN holder snapshots"
"olim_operator_qa5z_cluster","secret1qa5z60zrl9vrqv4xupsf5xpzpupkt0dctx2zx9","cosmos1qa5z60zrl9vrqv4xupsf5xpzpupkt0dcfr7tme","0.000000","0.000000","0.000000","0.000000","0.000000","","","","cosmos1qa5z60zrl9vrqv4xupsf5xpzpupkt0dcfr7tme;juno1qa5z60zrl9vrqv4xupsf5xpzpupkt0dcl3asu9;neutron1qa5z60zrl9vrqv4xupsf5xpzpupkt0dcduhfp7;osmosis1qa5z60zrl9vrqv4xupsf5xpzpupkt0dc6cnxty;secret1qa5z60zrl9vrqv4xupsf5xpzpupkt0dctx2zx9","operator-provided Olim Secret qa5z address; checked by raw-key conversion against PHMN holder snapshots"
